    Spearman   Pearson  Jaccard@1  Jaccard@2  Jaccard@3  Jaccard@4  Jaccard@5  Jaccard@6  Jaccard@7  Jaccard@8  Jaccard@9  Jaccard@10  Jaccard@11  Jaccard@12  Jaccard@13  Jaccard@14  Jaccard@15  Jaccard@16  Jaccard@17  Jaccard@18  Jaccard@19  Jaccard@20  Jaccard@21  Jaccard@22  Jaccard@23  Jaccard@24  Jaccard@25  Jaccard@26  Jaccard@27  Jaccard@28  Jaccard@29  Jaccard@30  Jaccard@31  Jaccard@32  Jaccard@33  Jaccard@34  Jaccard@35  Jaccard@36  Jaccard@37  Jaccard@38  Jaccard@39  Jaccard@40  Jaccard@41  Jaccard@42  Jaccard@43  Jaccard@44  Jaccard@45  Jaccard@46  Jaccard@47  Jaccard@48  Jaccard@49  Jaccard@50
10  0.513565  0.831873        1.0        1.0        0.5   0.333333   0.250000   0.200000   0.166667   0.142857   0.125000    0.111111    0.100000    0.200000    0.238095    0.272727    0.363636    0.454545    0.478261    0.440000    0.461538    0.481481    0.555556    0.571429    0.533333    0.600000    0.562500    0.575758    0.588235    0.555556    0.567568    0.621622    0.631579    0.641026    0.609756    0.619048    0.627907    0.636364    0.644444    0.688889    0.659574    0.666667    0.708333    0.750000    0.791667    0.795918    0.836735    0.877551    0.918367    0.920000        0.96         1.0
11  0.063049  0.951636        1.0        1.0        0.5   0.333333   0.250000   0.200000   0.166667   0.142857   0.200000    0.176471    0.157895    0.142857    0.130435    0.217391    0.200000    0.185185    0.172414    0.161290    0.187500    0.176471    0.166667    0.222222    0.277778    0.333333    0.315789    0.368421    0.384615    0.435897    0.450000    0.500000    0.476190    0.488372    0.500000    0.511111    0.521739    0.531915    0.541667    0.583333    0.625000    0.666667    0.673469    0.680000    0.720000    0.760000    0.800000    0.840000    0.880000    0.920000        0.96         1.0
12  0.209316  0.845394        0.0        1.0        0.5   0.333333   0.428571   0.333333   0.272727   0.230769   0.200000    0.176471    0.157895    0.142857    0.130435    0.217391    0.200000    0.230769    0.214286    0.241379    0.225806    0.250000    0.272727    0.294118    0.314286    0.333333    0.351351    0.368421    0.384615    0.435897    0.450000    0.500000    0.550000    0.523810    0.571429    0.581395    0.590909    0.565217    0.608696    0.617021    0.659574    0.702128    0.744681    0.787234    0.829787    0.833333    0.875000    0.916667    0.918367    0.920000        0.96         1.0
13 -0.059976  0.884397        1.0        1.0        0.5   0.333333   0.250000   0.333333   0.272727   0.230769   0.200000    0.176471    0.222222    0.263158    0.300000    0.272727    0.250000    0.280000    0.259259    0.241379    0.225806    0.250000    0.235294    0.257143    0.314286    0.297297    0.315789    0.300000    0.317073    0.333333    0.348837    0.363636    0.409091    0.422222    0.434783    0.478261    0.489362    0.531915    0.541667    0.583333    0.591837    0.600000    0.640000    0.680000    0.720000    0.760000    0.800000    0.840000    0.880000    0.920000        0.96         1.0
14  0.134694  0.741571        1.0        1.0        0.5   0.333333   0.250000   0.333333   0.272727   0.230769   0.285714    0.250000    0.222222    0.263158    0.300000    0.272727    0.304348    0.333333    0.307692    0.285714    0.266667    0.250000    0.272727    0.294118    0.314286    0.371429    0.351351    0.368421    0.421053    0.473684    0.487179    0.538462    0.550000    0.523810    0.500000    0.545455    0.521739    0.565217    0.608696    0.617021    0.659574    0.702128    0.708333    0.750000    0.791667    0.833333    0.836735    0.877551    0.880000    0.920000        0.96         1.0
15  0.095318  0.725821        1.0        1.0        0.5   0.333333   0.250000   0.200000   0.166667   0.142857   0.200000    0.250000    0.222222    0.200000    0.238095    0.217391    0.200000    0.230769    0.307692    0.285714    0.310345    0.333333    0.312500    0.333333    0.352941    0.371429    0.351351    0.405405    0.384615    0.400000    0.414634    0.395349    0.441860    0.488372    0.466667    0.511111    0.521739    0.565217    0.608696    0.583333    0.625000    0.666667    0.708333    0.750000    0.791667    0.795918    0.800000    0.840000    0.880000    0.920000        0.96         1.0
16  0.028764  0.877272        0.0        1.0        0.5   0.333333   0.250000   0.200000   0.166667   0.142857   0.125000    0.176471    0.157895    0.142857    0.181818    0.217391    0.200000    0.230769    0.214286    0.200000    0.225806    0.250000    0.235294    0.257143    0.314286    0.333333    0.351351    0.368421    0.384615    0.435897    0.450000    0.428571    0.441860    0.454545    0.466667    0.478261    0.458333    0.500000    0.510204    0.551020    0.591837    0.600000    0.640000    0.680000    0.720000    0.760000    0.800000    0.840000    0.880000    0.920000        0.96         1.0
17  0.203938  0.905727        0.0        1.0        0.5   0.333333   0.250000   0.200000   0.166667   0.230769   0.200000    0.250000    0.222222    0.200000    0.238095    0.217391    0.250000    0.230769    0.259259    0.285714    0.266667    0.290323    0.272727    0.294118    0.314286    0.371429    0.388889    0.405405    0.459459    0.435897    0.450000    0.428571    0.476190    0.454545    0.466667    0.511111    0.521739    0.565217    0.608696    0.652174    0.695652    0.739130    0.744681    0.787234    0.791667    0.833333    0.836735    0.877551    0.880000    0.920000        0.96         1.0
18 -0.248788  0.829297        1.0        1.0        0.5   0.333333   0.250000   0.200000   0.166667   0.142857   0.125000    0.111111    0.100000    0.090909    0.083333    0.076923    0.111111    0.142857    0.133333    0.125000    0.151515    0.142857    0.166667    0.189189    0.179487    0.200000    0.219512    0.209302    0.227273    0.217391    0.260870    0.304348    0.319149    0.361702    0.404255    0.416667    0.428571    0.469388    0.510204    0.551020    0.591837    0.632653    0.673469    0.714286    0.755102    0.760000    0.800000    0.840000    0.880000    0.920000        0.96         1.0
19  0.050852  0.841843        1.0        1.0        0.5   0.333333   0.428571   0.500000   0.400000   0.333333   0.285714    0.250000    0.222222    0.200000    0.238095    0.217391    0.200000    0.185185    0.172414    0.161290    0.225806    0.212121    0.200000    0.257143    0.314286    0.371429    0.388889    0.444444    0.421053    0.473684    0.450000    0.500000    0.512195    0.523810    0.534884    0.545455    0.555556    0.565217    0.608696    0.617021    0.625000    0.666667    0.673469    0.714286    0.755102    0.795918    0.800000    0.840000    0.880000    0.920000        0.96         1.0
